,sigla_uf,soja_area_nao_desmat,tco2eq,lr_surplus,qtd_cars,year,area_ha_soja_total,area_soja_desmat
0,MA,470151.87565,982230.93072,47332.28,7785,2020,1017391.91745,547240.0418
1,SP,1325158.3781,921689.24328,150658.62,65292,2021,1336255.444,11097.0659
2,TO,453309.23145,652847.364,21813.79,8201,2020,881071.69635,427762.4649
3,AP,15342.09255,75600.73872,0.0,168,2021,15363.09375,21.0012
4,MA,522718.7543,0.0,53240.26,10808,2022,1092442.25125,569723.49695
5,MG,1486774.62415,782613.41184,19376.59,30306,2021,1663641.2416,176866.61745
6,BA,728719.366,618902.0136,29309.29,5445,2021,1373264.3314,644544.9654
7,MG,1553501.0846,0.0,22102.79,31154,2022,1736522.96285,183021.87825
8,PR,5244046.01765,400879.02348,824572.04,317383,2020,5379924.73625,135878.7186
9,MA,514654.53215,1163310.90408,48521.42,9794,2021,1067181.5465,552527.01435
10,RJ,199.43185,0.0,2274.11,115,2022,201.97745,2.5456
11,MS,3036582.52045,0.0,97592.59,26049,2022,3117331.17985,80748.6594
12,RO,237540.19795,188120.59812,5441.17,3996,2020,250091.11965,12550.9217
13,GO,3674640.50155,0.0,21961.38,53408,2022,4001200.41105,326559.9095
14,RJ,199.3523,2969.57232,2274.11,118,2020,201.8979,2.5456
15,CE,6.2049,0.0,271.74,8,2022,12.64845,6.44355
16,TO,468963.3191,738845.48088,21820.77,8996,2021,904832.00855,435868.68945
17,RS,4942631.06765,0.0,577737.52,335693,2022,6384385.08525,1441754.0176
18,AM,26.17195,350.3682,0.0,3,2021,32.37685,6.2049
19,SC,545796.44795,5371.45128,244872.47,78838,2020,608912.21345,63115.7655
20,AM,,29.70864,0.0,2,2020,1.1137,
21,DF,160383.6188,0.0,541.84,2134,2022,169051.2277,8667.6089
22,MS,2950274.74795,1160350.0506,96031.94,25382,2020,3027879.27315,77604.5252
23,PR,5346970.2737,0.0,852701.31,322112,2022,5487726.28235,140756.00865
24,RR,67415.443,0.0,37.52,1621,2022,67978.10015,562.65715
25,PI,280627.4213,355315.98024,505761.05,3997,2021,1008729.55885,728102.13755
26,RO,285410.4446,0.0,4540.3,6218,2022,299333.36515,13922.92055
27,RS,4882430.33235,1063034.23356,566761.86,331676,2021,6287705.74285,1405275.4105
28,MT,9773817.3583,0.0,1688091.2,54179,2022,10857434.4121,1083617.0538
29,PI,279330.5972,358327.85508,505281.37,3979,2020,1002806.5045,723475.9073
30,AP,16134.56965,0.0,0.0,171,2022,16156.1277,21.55805
31,PR,5288678.4202,428458.329,840363.43,319114,2021,5425732.17185,137053.75165
32,RR,66356.55295,36516.76236,37.52,1617,2021,66914.7553,558.20235
33,MS,3005149.92895,1189264.3074,97531.16,25938,2021,3084817.9016,79667.97265
34,BA,748622.776,616989.35844,29358.01,5476,2020,1410393.6575,661770.8815
35,PA,387510.8013,1780184.33424,9171.32,6176,2020,427010.081,39499.2797
36,MT,9417664.2124,6751698.5484,1570999.8,52376,2021,10417869.2728,1000205.0604
37,GO,3331360.13665,1611568.74996,21479.09,48944,2020,3633336.07325,301975.9366
38,PA,576248.5857,0.0,16091.38,17383,2022,631370.0535,55121.4678
39,TO,485953.52855,0.0,22388.69,9598,2022,938583.5621,452630.03355
40,RJ,199.27275,2994.76008,2274.11,117,2021,201.81835,2.5456
41,RR,30362.3258,10480.3686,0.0,480,2020,30442.5122,80.1864
42,DF,158933.2632,942.28056,541.84,2107,2021,167511.1397,8577.8765
43,SP,1340116.08505,0.0,150032.62,66146,2022,1351389.1951,11273.11005
44,PI,287000.41045,0.0,579024.91,5088,2022,1031642.82265,744642.4122
45,MT,9265392.3071,6338275.05168,1429296.07,45518,2020,10211237.8296,945845.5225
46,GO,3510062.1317,1623346.61112,21572.31,50684,2021,3821641.0261,311578.8944
47,CE,1.19325,60.38604,139.32,3,2021,1.98875,0.7955
48,RS,4846754.06655,1056822.22152,563165.72,330156,2020,6237616.92625,1390862.8597
49,CE,1.19325,59.09436,139.32,3,2020,1.98875,0.7955
50,AM,26.17195,0.0,0.0,3,2022,32.37685,6.2049
51,SC,581459.03115,0.0,254858.96,83765,2022,649133.48895,67674.4578
52,PA,538808.5373,4095527.19264,15971.35,17328,2021,589457.545,50649.0077
53,MG,1366661.045,709446.84408,11817.92,27237,2020,1522604.9783,155943.9333
54,SP,1298583.82555,918444.86604,149351.77,64206,2020,1309541.51985,10957.6943
55,RO,281042.5132,231612.10956,6008.6,6168,2021,294760.19475,13717.68155
56,DF,158167.43535,591.58944,541.84,2092,2020,166715.6397,8548.20435
57,AP,10718.01015,72250.76664,0.0,146,2020,10729.78355,11.7734
58,SC,551938.66255,6862.37292,249144.01,80153,2021,616367.48035,64428.8178
59,BA,824159.55805,0.0,31510.53,5601,2022,1542762.55055,718602.9925
